City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Sinnamary,GF,83.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
202,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
206,Kavaratti,IN,80.38,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
208,Acarau,BR,81.9,clear sky,-2.8856,-40.12,castelo pizzaria
213,Thai Binh,VN,87.8,overcast clouds,20.45,106.3333,Sweden Hotel
214,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
221,Harsin,IR,81.41,clear sky,34.2721,47.5861,ایزوگام اصل دلیجان و شرق
250,Kathu,TH,80.42,light rain,7.9178,98.3332,Novotel Phuket Resort
252,Pacific Grove,US,85.57,clear sky,36.6177,-121.9166,Lovers Point Inn
266,Huicheng,CN,82.35,overcast clouds,23.0385,116.2899,Huilai Hotel
271,Campbellsville,US,88.68,broken clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
280,Kavieng,PG,81.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
291,Humberto De Campos,BR,82.76,few clouds,-2.5983,-43.4611,Pousada do Cabeça
294,Dakar,SN,84.33,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
295,Carutapera,BR,80.96,clear sky,-1.195,-46.02,Lidera
309,Conde,BR,80.06,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
311,Tual,ID,80.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
312,Mahibadhoo,MV,83.57,light rain,3.7833,72.9667,Omadhoo Inn
319,Praia,CV,82.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
324,Muborak,UZ,86.02,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
