City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Dingle,PH,2021-08-06 00:14:35,10.9995,122.6711,83.84,73,48,11.81
100,Wuchang,CN,2021-08-06 00:14:36,44.9143,127.15,71.33,89,100,8.84
101,Thompson,CA,2021-08-06 00:14:36,55.7435,-97.8558,71.85,26,38,5.95
102,Mahebourg,MU,2021-08-06 00:14:36,-20.4081,57.7,66.25,74,84,14.27
103,Tukrah,LY,2021-08-06 00:14:36,32.5341,20.5791,84.27,50,0,5.91
104,Port Lincoln,AU,2021-08-06 00:14:37,-34.7333,135.8667,56.53,73,100,7.92
105,Kaitangata,NZ,2021-08-06 00:14:37,-46.2817,169.8464,51.93,71,39,4.21
106,Marystown,CA,2021-08-06 00:11:09,47.1666,-55.1483,60.49,91,84,6.08
107,Kidal,ML,2021-08-06 00:14:37,18.4411,1.4078,76.82,68,65,24.74
108,Paraiso,CR,2021-08-06 00:14:37,9.8383,-83.8656,66.42,98,100,1.95
109,Jiaxing,CN,2021-08-06 00:14:38,30.7522,120.75,84.22,83,13,10.07
110,Ponta Delgada,PT,2021-08-06 00:14:38,37.7333,-25.6667,72.32,100,40,13.8
111,Haines Junction,CA,2021-08-06 00:14:38,60.7522,-137.5108,70.97,58,90,7.58
112,Samarai,PG,2021-08-06 00:14:39,-10.6167,150.6667,78.89,66,98,14.67
113,Apatity,RU,2021-08-06 00:14:39,67.5641,33.4031,48.56,79,82,2.71
114,Airai,TL,2021-08-06 00:14:39,-8.9266,125.4092,64.71,48,87,5.39
115,Shakawe,BW,2021-08-06 00:14:39,-18.3667,21.85,55.36,32,0,3.49
116,Contamana,PE,2021-08-06 00:14:40,-7.3333,-75.0167,76.64,44,1,2.84
117,Laurens,US,2021-08-06 00:14:40,32.4502,-82.9165,80.94,73,1,5.75
118,Calama,CL,2021-08-06 00:14:40,-22.4667,-68.9333,54.09,22,0,9.22
119,Namatanai,PG,2021-08-06 00:14:41,-3.6667,152.4333,82.67,73,85,10.0
120,Gweta,BW,2021-08-06 00:14:04,-20.1833,25.2333,59.52,32,0,7.38
121,Bud,US,2021-08-06 00:14:41,39.447,-86.1758,80.58,58,54,1.61
122,Suining,CN,2021-08-06 00:14:41,30.508,105.5733,78.22,68,62,3.67
123,Ponta Do Sol,PT,2021-08-06 00:14:42,32.6667,-17.1,77.0,84,37,1.79
124,Cabinda,AO,2021-08-06 00:14:42,-5.55,12.2,72.57,88,9,5.35
125,Flinders,AU,2021-08-06 00:14:42,-34.5833,150.8552,62.38,56,0,8.01
126,Tiksi,RU,2021-08-06 00:14:42,71.6872,128.8694,42.19,85,100,14.76
127,Rocha,UY,2021-08-06 00:14:43,-34.4833,-54.3333,59.47,82,100,9.75
128,Bluff,NZ,2021-08-06 00:14:43,-46.6,168.3333,48.79,76,80,11.86
129,Saldanha,ZA,2021-08-06 00:14:43,-33.0117,17.9442,54.75,86,0,4.29
130,Tasiilaq,GL,2021-08-06 00:14:43,65.6145,-37.6368,38.39,75,14,3.6
131,Huaihua,CN,2021-08-06 00:14:44,27.5494,109.9592,81.03,82,74,3.09
132,Presidencia Roque Saenz Pena,AR,2021-08-06 00:14:44,-26.7852,-60.4388,60.26,55,93,6.31
133,Puerto Ayora,EC,2021-08-06 00:14:44,-0.7393,-90.3518,71.55,89,67,5.99
134,Pangnirtung,CA,2021-08-06 00:14:45,66.1451,-65.7125,41.2,94,100,8.52
135,Sampit,ID,2021-08-06 00:14:45,-2.5333,112.95,76.73,92,96,2.71
136,Dunedin,NZ,2021-08-06 00:14:45,-45.8742,170.5036,49.46,66,51,1.5
137,Lorengau,PG,2021-08-06 00:14:46,-2.0226,147.2712,84.88,70,87,9.71
138,Qaanaaq,GL,2021-08-06 00:14:46,77.484,-69.3632,45.91,63,35,2.46
139,Yaan,NG,2021-08-06 00:14:46,7.3833,8.5667,70.9,97,61,4.27
140,Ixtapa,MX,2021-08-06 00:14:46,20.7,-105.2,76.23,94,90,3.44
141,Narsaq,GL,2021-08-06 00:14:47,60.9167,-46.05,48.42,93,100,1.01
142,Mar Del Plata,AR,2021-08-06 00:14:47,-38.0023,-57.5575,54.12,1,8,5.99
143,Mahajanga,MG,2021-08-06 00:14:47,-15.7167,46.3167,69.82,68,20,3.44
144,Seybaplaya,MX,2021-08-06 00:14:47,19.65,-90.6667,87.26,75,99,17.74
145,Severo-Kurilsk,RU,2021-08-06 00:14:48,50.6789,156.125,55.02,64,10,18.61
146,Tindivanam,IN,2021-08-06 00:14:48,12.25,79.65,81.99,60,99,14.0
147,Kant,IN,2021-08-06 00:14:48,27.8,79.8,81.86,81,90,6.15
148,Arraial Do Cabo,BR,2021-08-06 00:14:48,-22.9661,-42.0278,68.22,82,23,13.78
149,Leningradskiy,RU,2021-08-06 00:14:49,69.3833,178.4167,41.18,90,90,7.27
150,Salinas,US,2021-08-06 00:14:49,36.6777,-121.6555,88.02,67,1,13.8
151,Port Hardy,CA,2021-08-06 00:14:49,50.6996,-127.4199,60.17,84,100,7.65
152,Castro,BR,2021-08-06 00:14:50,-24.7911,-50.0119,51.46,86,100,7.61
153,Esperance,AU,2021-08-06 00:14:50,-33.8667,121.9,52.03,68,0,11.88
154,Kavieng,PG,2021-08-06 00:14:50,-2.5744,150.7967,82.72,74,98,7.7
155,Okha,RU,2021-08-06 00:14:50,53.5739,142.9478,56.17,85,100,14.76
156,Shitanjing,CN,2021-08-06 00:14:51,39.2342,106.3439,69.87,29,100,7.4
157,Nanortalik,GL,2021-08-06 00:14:51,60.1432,-45.2371,46.74,94,100,4.14
158,Tuatapere,NZ,2021-08-06 00:14:51,-46.1333,167.6833,48.81,71,32,2.86
159,Puerto Escondido,MX,2021-08-06 00:12:46,15.85,-97.0667,77.83,78,90,6.91
160,Tocopilla,CL,2021-08-06 00:11:54,-22.092,-70.1979,62.71,64,8,6.49
161,Solnechnyy,RU,2021-08-06 00:14:52,50.7214,136.6319,59.61,99,100,2.28
162,San Cristobal,VE,2021-08-06 00:14:52,7.7669,-72.225,75.38,99,55,4.72
163,Mount Gambier,AU,2021-08-06 00:14:52,-37.8333,140.7667,52.29,77,100,8.08
164,Jinxiang,CN,2021-08-06 00:14:52,27.4327,120.6062,79.14,89,100,3.29
165,Margate,GB,2021-08-06 00:14:53,51.3813,1.3862,63.03,96,84,1.99
166,Ilulissat,GL,2021-08-06 00:14:53,69.2167,-51.1,51.82,58,75,13.8
167,Talara,PE,2021-08-06 00:14:53,-4.5772,-81.2719,65.03,89,2,15.46
168,Codrington,AU,2021-08-06 00:14:53,-38.2667,141.9667,52.77,80,100,11.81
169,Souillac,MU,2021-08-06 00:14:54,-20.5167,57.5167,66.36,76,66,12.8
170,Mount Isa,AU,2021-08-06 00:14:54,-20.7333,139.5,64.17,32,15,16.11
171,Mogocha,RU,2021-08-06 00:14:54,53.7333,119.7667,59.41,93,100,1.45
172,North Bend,US,2021-08-06 00:14:55,43.4065,-124.2243,75.24,94,1,9.22
173,Vanimo,PG,2021-08-06 00:14:55,-2.6741,141.3028,83.8,67,11,2.59
174,Kaoma,ZM,2021-08-06 00:14:55,-14.7833,24.8,52.09,32,0,5.39
175,Constitucion,CL,2021-08-06 00:14:55,-35.3333,-72.4167,50.9,91,97,2.13
176,Lesnoy,RU,2021-08-06 00:14:56,57.6198,63.0784,62.42,98,100,5.39
177,Provideniya,RU,2021-08-06 00:14:56,64.3833,-173.3,55.51,58,0,6.71
178,Trinidad,BO,2021-08-06 00:14:56,-14.8333,-64.9,75.78,38,0,3.13
179,Hasaki,JP,2021-08-06 00:14:57,35.7333,140.8333,86.29,74,31,7.09
180,Canmore,CA,2021-08-06 00:14:57,51.0834,-115.3521,85.24,20,3,5.48
181,Saint-Philippe,RE,2021-08-06 00:14:57,-21.3585,55.7679,67.55,74,50,11.48
182,Adana,TR,2021-08-06 00:14:57,36.985,35.2881,81.12,97,20,0.0
183,Great Yarmouth,GB,2021-08-06 00:14:58,52.6083,1.7305,63.01,91,100,16.64
184,Pindobacu,BR,2021-08-06 00:14:58,-10.7417,-40.3608,69.21,77,85,8.48
185,Gambela,ET,2021-08-06 00:14:58,8.25,34.5833,69.93,83,87,3.65
186,Moose Factory,CA,2021-08-06 00:14:58,51.2585,-80.6094,51.78,93,90,4.61
187,Bolivar,US,2021-08-06 00:14:25,37.6145,-93.4105,77.92,90,100,8.03
188,Senno,RU,2021-08-06 00:14:59,59.5336,33.9167,54.27,97,100,6.73
189,Vostok,RU,2021-08-06 00:14:59,46.4856,135.8833,73.53,82,96,2.28
190,Cassino,IT,2021-08-06 00:14:59,41.4876,13.8315,72.9,81,55,1.86
191,Ancud,CL,2021-08-06 00:15:00,-41.8697,-73.8203,51.22,87,100,11.32
192,Srandakan,ID,2021-08-06 00:15:00,-7.9386,110.2506,76.23,84,74,3.49
193,Qasigiannguit,GL,2021-08-06 00:15:00,68.8193,-51.1922,52.05,82,100,12.97
194,Avarua,CK,2021-08-06 00:15:00,-21.2078,-159.775,77.05,61,20,5.75
195,Lazaro Cardenas,MX,2021-08-06 00:15:01,17.9583,-102.2,82.92,75,97,3.27
196,Scarborough,GB,2021-08-06 00:15:01,54.2797,-0.4044,61.54,91,100,5.99
197,Torbay,CA,2021-08-06 00:15:02,47.6666,-52.7314,66.76,63,48,13.82
198,Bengkulu,ID,2021-08-06 00:15:03,-3.8004,102.2655,75.56,86,89,3.2
199,Nikolayevka,RU,2021-08-06 00:15:03,53.1257,47.2041,58.8,66,28,2.91
200,Marsh Harbour,BS,2021-08-06 00:15:03,26.5412,-77.0636,83.52,76,45,13.13
201,Waipawa,NZ,2021-08-06 00:15:03,-41.4122,175.5153,51.1,72,100,0.2
202,Jutai,BR,2021-08-06 00:15:04,-5.1833,-68.9,79.93,51,90,3.15
203,Saint Anthony,US,2021-08-06 00:15:04,45.0205,-93.218,84.34,66,1,7.0
204,Point Fortin,TT,2021-08-06 00:15:04,10.1833,-61.6833,82.02,78,4,8.61
205,Kazachinskoye,RU,2021-08-06 00:15:05,57.6953,93.2761,61.5,95,76,1.54
206,Brae,GB,2021-08-06 00:15:05,60.3964,-1.353,58.91,93,58,15.37
207,Faya,SA,2021-08-06 00:15:05,18.3851,42.4509,63.12,64,49,2.42
208,Sheregesh,RU,2021-08-06 00:15:06,52.9209,87.9869,54.48,97,99,2.46
209,Ambon,ID,2021-08-06 00:15:06,-3.6954,128.1814,77.14,94,40,6.91
210,Buchanan,LR,2021-08-06 00:15:06,5.8808,-10.0467,76.33,79,95,10.0
211,Gornja Radgona,SI,2021-08-06 00:15:06,46.6733,15.9922,57.94,96,33,3.02
212,Muros,ES,2021-08-06 00:15:07,42.7762,-9.0603,64.24,87,91,4.68
213,General Roca,AR,2021-08-06 00:15:07,-39.0333,-67.5833,54.0,28,62,7.02
214,Berbera,SO,2021-08-06 00:15:07,10.4396,45.0143,90.95,40,70,23.24
215,Kahului,US,2021-08-06 00:15:08,20.8947,-156.47,86.02,76,40,26.46
216,Likasi,CD,2021-08-06 00:15:08,-10.9814,26.7333,57.69,40,0,4.81
217,Taree,AU,2021-08-06 00:15:08,-31.9,152.4667,58.93,55,0,10.36
218,Kamloops,CA,2021-08-06 00:15:08,50.6665,-120.3192,94.82,23,75,8.01
219,Gotsu,JP,2021-08-06 00:15:09,35.0,132.2167,87.49,59,0,5.06
220,Horuphav,DK,2021-08-06 00:15:09,54.9102,9.8987,63.16,82,21,12.66
221,Lagoa,PT,2021-08-06 00:15:09,39.05,-27.9833,72.72,92,0,19.22
222,Sorland,NO,2021-08-06 00:15:10,67.667,12.6934,54.32,87,100,7.58
223,Lavrentiya,RU,2021-08-06 00:12:17,65.5833,-171.0,53.85,92,100,1.86
224,Vao,NC,2021-08-06 00:15:10,-22.6667,167.4833,67.73,59,68,17.13
225,Rio Gallegos,AR,2021-08-06 00:15:10,-51.6226,-69.2181,46.63,46,2,26.84
226,Diego De Almagro,CL,2021-08-06 00:15:11,-26.3667,-70.05,58.6,30,0,0.38
227,Ayolas,PY,2021-08-06 00:15:11,-27.4,-56.9,63.75,61,100,5.75
228,Havoysund,NO,2021-08-06 00:15:11,70.9963,24.6622,50.88,91,95,3.51
229,Ciro Marina,IT,2021-08-06 00:15:11,39.3732,17.126,80.37,43,93,11.43
230,Hamilton,US,2021-08-06 00:11:11,39.1834,-84.5333,81.79,59,1,1.01
231,Ligayan,PH,2021-08-06 00:15:12,4.6533,119.4706,84.94,70,59,8.59
232,Saint-Michel-Des-Saints,CA,2021-08-06 00:15:12,46.6834,-73.9159,72.93,77,70,4.54
233,Trairi,BR,2021-08-06 00:13:52,-3.2778,-39.2689,78.82,80,49,12.48
234,Kununurra,AU,2021-08-06 00:15:12,-15.7667,128.7333,69.78,23,15,9.22
235,Eureka,US,2021-08-06 00:11:46,40.8021,-124.1637,76.68,75,64,4.0
236,Longyearbyen,SJ,2021-08-06 00:15:13,78.2186,15.6401,42.64,87,75,2.3
237,Mirabad,AF,2021-08-06 00:15:13,30.4362,61.8383,88.05,17,2,22.66
238,Grindavik,IS,2021-08-06 00:15:13,63.8424,-22.4338,53.91,100,0,5.75
239,Yongzhou,CN,2021-08-06 00:15:13,26.4559,111.5988,82.31,84,91,2.93
240,Moindou,NC,2021-08-06 00:15:14,-21.6924,165.677,71.55,51,66,8.95
241,Kenora,CA,2021-08-06 00:15:14,49.8167,-94.4337,65.37,82,90,12.66
242,Abu Zabad,SD,2021-08-06 00:15:14,12.35,29.25,80.35,63,96,8.81
243,Mackay,AU,2021-08-06 00:15:15,-21.15,149.2,70.68,54,26,15.05
244,Bom Despacho,BR,2021-08-06 00:11:39,-19.7364,-45.2522,63.5,54,73,8.7
245,Pimentel,PE,2021-08-06 00:15:15,-6.8367,-79.9342,64.99,82,0,1.01
246,Srednekolymsk,RU,2021-08-06 00:12:16,67.45,153.6833,48.6,70,100,11.72
247,Conceicao Do Coite,BR,2021-08-06 00:15:15,-11.5639,-39.2828,64.06,95,83,7.16
248,Batagay,RU,2021-08-06 00:15:15,67.6333,134.6333,55.65,45,8,3.06
249,Avera,US,2021-08-06 00:15:16,33.194,-82.5271,85.66,52,46,6.04
250,Tau,NO,2021-08-06 00:15:16,59.0667,5.9,61.52,86,56,10.42
251,Domoni,KM,2021-08-06 00:15:16,-12.2569,44.5319,72.84,77,3,3.36
252,Awjilah,LY,2021-08-06 00:15:17,29.1081,21.2869,87.85,28,0,9.06
253,Antalaha,MG,2021-08-06 00:15:17,-14.9003,50.2788,67.71,82,91,9.48
254,Bilma,NE,2021-08-06 00:15:17,18.6853,12.9164,94.78,19,17,6.4
255,Soria,ES,2021-08-06 00:15:18,41.6667,-2.6667,68.02,55,3,5.7
256,Mutare,ZW,2021-08-06 00:15:18,-18.9707,32.6709,51.91,71,0,1.99
257,Truth Or Consequences,US,2021-08-06 00:15:18,33.1284,-107.2528,94.91,24,1,4.61
258,Nauta,PE,2021-08-06 00:15:19,-4.5061,-73.5757,79.72,54,39,1.01
259,Novobirilyussy,RU,2021-08-06 00:11:08,56.9514,90.6661,58.71,91,7,1.28
260,Saint-Francois,FR,2021-08-06 00:15:19,46.4154,3.9054,63.84,84,0,4.61
261,Bingerville,CI,2021-08-06 00:15:20,5.3584,-3.8869,76.14,94,20,5.75
262,Fortuna,US,2021-08-06 00:15:20,40.5982,-124.1573,79.2,67,1,5.99
263,Severobaykalsk,RU,2021-08-06 00:15:20,55.65,109.3167,51.6,98,96,3.11
264,Nara,JP,2021-08-06 00:15:20,34.6851,135.8049,86.92,62,71,9.4
265,Mandalgovi,MN,2021-08-06 00:15:21,45.7625,106.2708,67.8,41,37,7.99
266,San Quintin,MX,2021-08-06 00:15:21,30.4833,-115.95,72.36,73,3,12.95
267,Bethel,US,2021-08-06 00:15:21,41.3712,-73.414,75.02,83,1,8.05
268,Marfino,RU,2021-08-06 00:15:22,55.7028,37.3822,62.1,92,0,2.24
269,Extremoz,BR,2021-08-06 00:15:22,-5.7056,-35.3072,75.65,83,40,6.91
270,Mwense,ZM,2021-08-06 00:15:22,-10.3845,28.698,61.05,42,0,4.74
271,Hobyo,SO,2021-08-06 00:15:22,5.3505,48.5268,75.81,84,85,25.55
272,Nhulunbuy,AU,2021-08-06 00:15:23,-12.2333,136.7667,77.61,53,0,16.11
273,Miri,MY,2021-08-06 00:14:41,4.4148,114.0089,79.88,79,75,3.98
274,Richards Bay,ZA,2021-08-06 00:15:23,-28.783,32.0377,60.58,92,0,6.87
275,Ust-Shonosha,RU,2021-08-06 00:15:23,61.1531,41.343,51.08,73,82,3.15
276,Tecoanapa,MX,2021-08-06 00:15:24,16.5167,-98.75,80.65,83,94,6.15
277,Portland,US,2021-08-06 00:15:24,45.5234,-122.6762,88.2,46,1,1.01
278,Jalu,LY,2021-08-06 00:15:24,29.0331,21.5482,88.68,26,0,9.48
279,Pahrump,US,2021-08-06 00:15:24,36.2083,-115.9839,109.11,9,0,8.99
280,Minot,US,2021-08-06 00:11:42,48.2325,-101.2963,82.62,43,20,1.99
281,Pasighat,IN,2021-08-06 00:15:25,28.0667,95.3333,78.51,89,28,2.91
282,Aksu,CN,2021-08-06 00:15:25,41.1231,80.2644,77.99,32,83,8.19
283,Luderitz,NA,2021-08-06 00:15:25,-26.6481,15.1594,56.64,66,11,1.25
284,Santa Ana,US,2021-08-06 00:15:26,33.7456,-117.8678,105.08,55,20,3.0
285,Teguise,ES,2021-08-06 00:15:26,29.0605,-13.564,68.22,88,75,14.97
286,Kaeo,NZ,2021-08-06 00:15:26,-35.1,173.7833,56.91,89,66,13.76
287,Yatou,CN,2021-08-06 00:15:27,37.15,122.3833,74.82,87,100,7.31
