City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Pangnirtung,CA,66.1451,-65.7125,46.4,81,90,14.97,overcast clouds
246,Requena,ES,39.4883,-1.1004,69.58,87,96,7.38,overcast clouds
247,Beloha,MG,-25.1667,45.05,62.64,87,0,5.7,clear sky
248,Fort Nelson,CA,58.8053,-122.7002,60.39,72,75,4.61,broken clouds
249,Ponta Do Sol,PT,32.6667,-17.1,73.0,77,36,3.53,scattered clouds
250,Kathu,TH,7.9178,98.3332,80.42,82,69,9.93,light rain
251,Aras,ES,42.5617,-2.356,70.72,48,0,8.05,clear sky
252,Pacific Grove,US,36.6177,-121.9166,85.57,76,1,5.01,clear sky
253,Kyzyl-Suu,KG,42.3414,78.0056,62.92,37,0,7.65,clear sky
254,Nanortalik,GL,60.1432,-45.2371,44.2,85,29,14.58,scattered clouds
255,Lagoa,PT,39.05,-27.9833,71.98,86,28,20.71,scattered clouds
256,Ampanihy,MG,-24.7,44.75,63.25,81,0,6.58,clear sky
257,Tashtagol,RU,52.7657,87.8894,56.68,91,21,2.62,few clouds
258,Nemuro,JP,43.3236,145.575,63.81,90,100,24.61,moderate rain
259,Buckeye,US,33.3703,-112.5838,106.39,31,0,6.91,clear sky
260,Grand Gaube,MU,-20.0064,57.6608,69.39,90,77,3.0,light rain
261,Mount Isa,AU,-20.7333,139.5,44.37,53,0,3.44,clear sky
262,Tairua,NZ,-37.0167,175.85,46.09,79,27,11.88,light rain
263,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,20,7.25,light rain
264,Vilyuysk,RU,63.7553,121.6247,67.44,66,95,5.37,overcast clouds
265,Guerrero Negro,MX,27.9769,-114.0611,79.25,59,5,13.22,clear sky
266,Huicheng,CN,23.0385,116.2899,82.35,90,100,5.88,overcast clouds
267,Erdenet,MN,49.0333,104.0833,47.86,82,2,2.21,clear sky
268,Bereda,ES,43.2686,-7.5406,62.42,85,92,4.09,overcast clouds
269,Norman Wells,CA,65.282,-126.8329,53.64,66,90,11.5,overcast clouds
270,Ponta Delgada,PT,37.7333,-25.6667,74.12,78,40,14.97,scattered clouds
271,Campbellsville,US,37.3434,-85.3419,88.68,51,74,3.0,broken clouds
272,Viljoenskroon,ZA,-27.2084,26.9485,49.33,21,1,6.31,clear sky
273,Najran,SA,17.4924,44.1277,92.05,17,59,2.75,broken clouds
274,Teya,RU,60.3778,92.6267,56.05,83,100,2.98,overcast clouds
275,Nybro,SE,56.7446,15.9071,64.04,94,12,4.63,few clouds
276,San Cristobal,VE,7.7669,-72.225,77.18,90,94,2.77,overcast clouds
277,Joshimath,IN,30.5667,79.5667,70.79,89,100,0.72,moderate rain
278,Stranda,NO,62.3096,6.9358,64.74,82,51,1.01,broken clouds
279,Sistranda,NO,63.7256,8.834,62.56,76,3,11.05,clear sky
280,Kavieng,PG,-2.5744,150.7967,81.0,76,99,10.27,overcast clouds
281,Port Augusta,AU,-32.5,137.7667,42.71,70,0,4.81,clear sky
282,Mackay,AU,-21.15,149.2,63.05,88,4,10.36,clear sky
283,Fengzhen,CN,40.4394,113.1536,59.14,92,3,1.92,light rain
284,Barahona,DO,18.2085,-71.1008,93.02,59,20,13.8,few clouds
285,Oltu,TR,40.5498,42.0013,65.16,85,27,3.33,scattered clouds
286,Lasa,IT,46.6166,10.7002,69.71,92,30,2.57,scattered clouds
287,Kamaishi,JP,39.2667,141.8833,76.86,98,100,10.47,overcast clouds
288,Baiyin,CN,36.5583,104.2081,63.48,58,8,1.3,clear sky
289,Cervo,ES,43.6702,-7.4101,63.97,76,99,1.97,overcast clouds
290,Omboue,GA,-1.5746,9.2618,73.74,84,94,7.11,overcast clouds
